Species,HL_extension,Limb_status,LimbN,Comp1,Comp2,Comp3,Substrate category,Clade,SkW,HdL,SVL,FLL,HLL,PSVn,FLprop,HLprop,Disparity,Man,Pes,FL_extension,measured from scan,
Lerista_planiventralis,5,2,2,0.004352802,-0.041152084,0.054672145,sand,Lerista,3562.52,7.4,53.998,4.498,14.914,40,8.329938146,27.61954146,0.698357358,2,3,3,,
Lerista_praepedita,5,1,1,0.211960553,0.037829357,0.030448908,sandy soil,Lerista,,4.858966455,54.8,0,1.1508,51,0,2.1,0.999131794,0,0,0,,
Lerista_punctatovittata,4,1,2,0.057925126,-0.007033545,-0.000800257,sandy soil,Lerista,4229.76,8.00916023,83.33,3.58319,10.74957,47,4.3,12.9,0.666604654,2,2,3,,
Lerista_puncticauda,5,1,2,0.013526965,0.027798787,0.01547718,sandy soil,Lerista,,9.155,83.13,3.76,16.29,44,4.523036208,19.59581379,0.769136333,2,3,3,,
Lerista_simillima,5,1,1,0.025936891,-0.043032565,0.001120212,sandy soil,Lerista,,5.28311613,48.67666667,0,8.518416667,42,0,17.5,0.999882621,0,2,0,,
Lerista_speciosa,5,2,2,-0.021373508,0.043620891,-0.001804623,sandy soil,Lerista,,8.13,61,6.53,12.51,37,10.70491803,20.50819672,0.477979378,3,3,4,y,
Lerista_stictopleura,5,2,2,0.005640927,-0.001053498,-0.016802266,sandy soil,Lerista,,5.657242044,50.4,2.7216,10.6848,42,5.4,21.2,0.745213274,1,2,3,,
Lerista_stylis,2,1,1,0.213981805,-0.051853742,0.023039961,sand,Lerista,,5.652623804,66.045,0,1.05672,49,0,1.6,0.99905457,0,0,0,,
Lerista_taeniata,5,2,2,-0.089047971,0.028313351,-0.001481393,sand,Lerista,,4.559240389,35.6,4.9484,9.5408,37,13.9,26.8,0.481292838,4,4,4,,
Lerista_terdigitata,5,2,2,-0.042466433,0.048210357,-0.024946029,sand,Lerista,,8.574637047,61.2,6.8544,14.0148,38,11.2,22.9,0.510880578,3,3,4,,
Lerista_uniduo,5,1,1,-0.023293826,0.013560532,-0.039766064,sand,Lerista,,6.278,57.146,0,10.91,44,0,19.09144997,0.999908349,0,2,1,,
Lerista_varia,5,1,2,0.125458375,-0.022732015,0.028068481,sandy soil,Lerista,,5.778620983,52.8,0.1056,8.844,41,0.2,16.75,0.987947993,0,2,1,,
Lerista_vermicularis,5,1,1,0.046432407,-0.0050513,0.005009111,sand,Lerista,,4.122,41.812,0,8.484,38,0,20.2908256,0.999882145,0,2,0,,
Lerista_viduata,5,2,2,-0.064707523,-0.005957164,0.000729446,sandy soil,Lerista,,7.297109208,43,5.16,9.03,32,12,21,0.428523973,5,5,5,,
Lerista_walkeri,5,2,2,0.043745734,0.048547287,0.017824133,sandy soil,Lerista,,7.298,61.338,4.448,7.934,42,7.251622159,12.93488539,0.439319471,2,2,4,,
Lerista_xanthura,5,3,2,-0.019413252,-0.000358218,0.032233712,sand,Lerista,,5.434,39.242,5.898,11.398,41,15.02981499,29.04541053,0.482498465,4,4,4,,
Lerista_zietzi,5,2,2,-0.049008462,0.009166105,-0.03021636,soil,Lerista,3127.47,6.798551292,45.1,6.1787,9.8769,38,13.7,21.9,0.374391318,4,4,4,psv,
Ophioscincus_truncatus,2,1,2,0.115069648,0.053926961,-0.103264773,soil,Saiphos,3199.9,7.13,65.71,0.97,1.76,50,1.476183229,2.67843555,0.448608745,1,1,2,,
Saiphos_equalis,3,2,2,0.014954161,0.099725812,-0.023850496,humus,Saiphos,3711.43,8.15,60.67,5.43,6.34,40,8.950057689,10.44997528,0.143510487,3,3,3,,
