Species,FL_extension,HL_extension,Limb_status,LimbN,Comp1,Comp2,Clade,Substrate category,HdL,SVL,FLL,HLL,PSVn,logPSV,FLprop,HLprop,Disparity,Man,Pes,measured from scan,environment
Lerista_kalumburu,2,5,1,2,0.051985389,0.01001215,Lerista,sandy soil,5.726,55.392,1.794,8.224,42,3.737669618,3.238734835,14.8469093,0.781762918,1,3,Greer,
Lerista_karlschmidti,0,3,1,1,0.097489765,0.012450065,Lerista,sandy soil,5.968,62.576,0,2.256,50,3.912023005,0,3.605216057,0.999556934,0,1,,
Lerista_kennedyensis,2,5,1,1,0.123105173,0.023456931,Lerista,sand,5.972,56.732,0.744,10.71,42,3.737669618,1.311429176,18.87823451,0.930445337,0,2,Greer,
Lerista_labialis,0,5,1,1,0.086341473,-0.035977407,Lerista,sand,5.269161508,53.1,0,8.6553,46,3.828641396,0,16.3,0.999884477,0,2,,
Lerista_lineata,4,5,2,2,0.0713662,0.001287181,Lerista,sandy soil,5.76483565,47,3.525,9.964,37,3.610917913,7.5,21.2,0.646161565,2,3,Greer,
Lerista_lineopunctulata,1,3,1,2,0.053693151,-0.019609068,Lerista,sand,9.304,85.052,0.792,9.274,46,3.828641396,0.931195034,10.9039176,0.914501348,0,2,,
Lerista_macropisthopus,3,4,1,2,-0.052399674,0.001470759,Lerista,sand,7.078026667,70.78026667,2.448088122,10.54030625,46,3.828641396,3.458715596,14.89158878,0.767667492,2,3,,
Lerista_microtis,5,5,3,2,-0.1043182,0.001584123,Lerista,sand,6.017980329,40.05102041,6.660879563,12.00672376,36,3.583518938,16.63098591,29.97857142,0.445200465,5,5,,
Lerista_muelleri,3,5,2,2,0.015788281,-0.004341246,Lerista,sandy soil,5.072,37.564,4.206,8.662,41,3.713572067,11.19689064,23.05931211,0.514371465,3,3,,
Lerista_neander,3,4,2,2,-0.115891746,-0.036060973,Lerista,sandy soil,8.476,78.612,4.408,11.294,45,3.80666249,5.607286419,14.36676334,0.609650288,2,2,,
Lerista_nichollsi,1,5,1,1,-0.021062366,-0.008018367,Lerista,sand,6.36,59.87,0,10.76,41,3.713572067,0,17.97227326,0.999907072,0,2,psv,
Lerista_onsloviana,1,5,1,1,0.076653903,0.034181954,Lerista,sand,5.752261546,55,0,9.625,43,3.761200116,0,17.5,0.999896115,0,2,,
Lerista_orientalis,4,5,2,2,0.060957543,0.006503367,Lerista,soil,5.71,38.486,4.044,8.596,38,3.63758616,10.50771709,22.33539469,0.52948703,4,4,,
Lerista_petersoni,1,5,1,2,0.111071037,-0.009132174,Lerista,soil,6.49,57.82,0.5,11.82,43,3.761200116,0.864752681,20.44275337,0.957617799,0,2,Greer,
Lerista_picturata,1,5,1,2,0.161292691,0.011340282,Lerista,sandy soil,9.536715371,81.1,1.1354,13.6248,43,3.761200116,1.4,16.8,0.916599392,2,2,,
Lerista_planiventralis,3,5,2,2,0.00464196,0.027812569,Lerista,sand,7.4,53.998,4.498,14.914,40,3.688879454,8.329938146,27.61954146,0.698357358,2,3,,
Lerista_praepedita,0,5,1,1,0.023404998,-0.063622096,Lerista,sandy soil,4.858966455,54.8,0,1.1508,51,3.931825633,0,2.1,0.999131794,0,0,,
Lerista_punctatovittata,3,4,1,2,-0.035073556,-0.036092058,Lerista,sandy soil,8.00916023,83.33,3.58319,10.74957,47,3.850147602,4.3,12.9,0.666604654,2,2,,
Lerista_puncticauda,3,5,1,2,0.017468217,-0.012310369,Lerista,sandy soil,9.155,83.13,3.76,16.29,44,3.784189634,4.523036208,19.59581379,0.769136333,2,3,psv,
Lerista_simillima,0,5,1,1,0.048357328,-0.052530943,Lerista,sandy soil,5.28311613,48.67666667,0,8.518416667,42,3.737669618,0,17.5,0.999882621,0,2,,
Lerista_speciosa,4,5,2,2,-0.002541237,0.003274975,Lerista,sandy soil,8.13,61,6.53,12.51,37,3.610917913,10.70491803,20.50819672,0.477979378,3,3,y,
Lerista_stictopleura,3,5,2,2,0.050943839,-0.009146194,Lerista,sandy soil,5.657242044,50.4,2.7216,10.6848,42,3.737669618,5.4,21.2,0.745213274,1,2,,
Lerista_stylis,0,2,1,1,0.014107843,-0.041529728,Lerista,sand,5.652623804,66.045,0,1.05672,49,3.891820298,0,1.6,0.99905457,0,0,,
Lerista_taeniata,4,5,2,2,-0.042658154,-0.028421332,Lerista,sand,4.559240389,35.6,4.9484,9.5408,37,3.610917913,13.9,26.8,0.481292838,4,4,,
Lerista_terdigitata,4,5,2,2,-0.053393269,0.017461311,Lerista,sand,8.574637047,61.2,6.8544,14.0148,38,3.63758616,11.2,22.9,0.510880578,3,3,,
Lerista_uniduo,1,5,1,1,0.010928086,-0.036226887,Lerista,sand,6.278,57.146,0,10.91,44,3.784189634,0,19.09144997,0.999908349,0,2,,
Lerista_varia,1,5,1,2,0.012132045,-0.020759084,Lerista,sandy soil,5.778620983,52.8,0.1056,8.844,41,3.713572067,0.2,16.75,0.987947993,0,2,psv,
Lerista_vermicularis,0,5,1,1,0.02060745,-0.02851851,Lerista,sand,4.122,41.812,0,8.484,38,3.63758616,0,20.2908256,0.999882145,0,2,Greer,
Lerista_viduata,5,5,2,2,-0.020213528,0.010583108,Lerista,sandy soil,7.297109208,43,5.16,9.03,32,3.465735903,12,21,0.428523973,5,5,psv,
Lerista_walkeri,4,5,2,2,-0.078788932,-0.041087947,Lerista,sandy soil,7.298,61.338,4.448,7.934,42,3.737669618,7.251622159,12.93488539,0.439319471,2,2,Greer,
Lerista_xanthura,4,5,3,2,0.007363564,-0.02799895,Lerista,sand,5.434,39.242,5.898,11.398,41,3.713572067,15.02981499,29.04541053,0.482498465,4,4,,
Lerista_zietzi,4,5,2,2,-0.067849748,-0.005407459,Lerista,soil,6.798551292,45.1,6.1787,9.8769,38,3.63758616,13.7,21.9,0.374391318,4,4,psv,
Ophioscincus_truncatus,2,2,1,2,-0.027907121,-0.038384021,Saiphos,soil,7.13,65.71,0.97,1.76,50,3.912023005,1.476183229,2.67843555,0.448608745,1,1,,
Saiphos_equalis,3,3,2,2,-0.033078203,0.003956687,Saiphos,humus,8.15,60.67,5.43,6.34,40,3.688879454,8.950057689,10.44997528,0.143510487,3,3,,
